郵便番号, 地域区分ID, (旧)郵便番号, 都道府県名(よみ), 市区町村名(よみ), 町域名(よみ), 都道府県名, 市区町村名, 町域名, 一町域が二以上の郵便番号で表される場合の表示, 小字毎に番地が起番されている町域の表示, 丁目を有する町域の場合の表示, 一つの郵便番号で二以上の町域を表す場合の表示, 更新の表示, 変更理由, 登録日, 修正日
post_id, region_id, post_id_old, state_re, cities_re, town_re, state, cities, town,more_info1,more_info2,more_info3,more_info4,more_info5,more_info6, create_on, modify_on
8000000,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ,福岡県,北九州市門司区,以下に掲載がない場合,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000045,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｱｵﾊﾞﾀﾞｲ,福岡県,北九州市門司区,青葉台,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000101,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｲｶﾜ,福岡県,北九州市門司区,伊川,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000041,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｲｽﾞﾐｶﾞｵｶ,福岡県,北九州市門司区,泉ケ丘,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000048,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｲﾅﾂﾞﾐ,福岡県,北九州市門司区,稲積,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000111,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｲﾏﾂﾞ,福岡県,北九州市門司区,今津,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000026,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｳﾒﾉｷﾁｮｳ,福岡県,北九州市門司区,梅ノ木町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010864,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｵｲﾏﾂﾁｮｳ,福岡県,北九州市門司区,老松町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010883,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｵｵｸﾎﾞ,福岡県,北九州市門司区,大久保,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010811,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｵｵﾂﾐ,福岡県,北九州市門司区,大積,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000011,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｵｸﾀﾞ,福岡県,北九州市門司区,奥田,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010876,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｶｹﾞﾂｴﾝ,福岡県,北九州市門司区,花月園,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010801,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｶｻﾞｼ(1-3ﾁｮｳﾒ),福岡県,北九州市門司区,風師（１〜３丁目）,1,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000001,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｶｻﾞｼ(4ﾁｮｳﾒ),福岡県,北九州市門司区,風師（４丁目）,1,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010823,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｶｽｶﾞﾏﾁ,福岡県,北九州市門司区,春日町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000061,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｶﾀｶﾞﾐｶｲｶﾞﾝ,福岡県,北九州市門司区,片上海岸,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000003,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｶﾀｶﾞﾐﾏﾁ,福岡県,北九州市門司区,片上町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000016,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｶﾐﾆｼﾞｯﾁｮｳ,福岡県,北九州市門司区,上二十町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000044,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｶﾐﾌｼﾞﾏﾂ,福岡県,北九州市門司区,上藤松,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8010871,40101,801,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｶﾐﾎﾝﾏﾁ,福岡県,北九州市門司区,上本町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000042,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｶﾐﾏｲｿｳ,福岡県,北九州市門司区,上馬寄,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000114,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷｼ,福岡県,北九州市門司区,吉志,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000118,40101,80001,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷｼｼﾝﾏﾁ,福岡県,北九州市門司区,吉志新町,0,0,1,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
8000004,40101,800,ﾌｸｵｶｹﾝ,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,ｷﾀｶﾞﾜﾏﾁ,福岡県,北九州市門司区,北川町,0,0,0,0,0,0,2016-02-13 10:00:00,2016-02-13 10:00:00
