地域区分ID, 地域区分名, 登録日, 修正日
id, name, create_on, modify_on
1000,北海道,2016-02-13 10:00:00,2016-02-13 10:00:00
1100,北海道札幌市,2016-02-13 10:00:00,2016-02-13 10:00:00
1101,北海道札幌市中央区,2016-02-13 10:00:00,2016-02-13 10:00:00
1102,北海道札幌市北区,2016-02-13 10:00:00,2016-02-13 10:00:00
1103,北海道札幌市東区,2016-02-13 10:00:00,2016-02-13 10:00:00
1104,北海道札幌市白石区,2016-02-13 10:00:00,2016-02-13 10:00:00
1105,北海道札幌市豊平区,2016-02-13 10:00:00,2016-02-13 10:00:00
1106,北海道札幌市南区,2016-02-13 10:00:00,2016-02-13 10:00:00
1107,北海道札幌市西区,2016-02-13 10:00:00,2016-02-13 10:00:00
1108,北海道札幌市厚別区,2016-02-13 10:00:00,2016-02-13 10:00:00
1109,北海道札幌市手稲区,2016-02-13 10:00:00,2016-02-13 10:00:00
1110,北海道札幌市清田区,2016-02-13 10:00:00,2016-02-13 10:00:00
1202,北海道函館市,2016-02-13 10:00:00,2016-02-13 10:00:00
1203,北海道小樽市,2016-02-13 10:00:00,2016-02-13 10:00:00
1204,北海道旭川市,2016-02-13 10:00:00,2016-02-13 10:00:00
1205,北海道室蘭市,2016-02-13 10:00:00,2016-02-13 10:00:00
1206,北海道釧路市,2016-02-13 10:00:00,2016-02-13 10:00:00
1207,北海道帯広市,2016-02-13 10:00:00,2016-02-13 10:00:00
1208,北海道北見市,2016-02-13 10:00:00,2016-02-13 10:00:00
1209,北海道夕張市,2016-02-13 10:00:00,2016-02-13 10:00:00
1210,北海道岩見沢市,2016-02-13 10:00:00,2016-02-13 10:00:00
1211,北海道網走市,2016-02-13 10:00:00,2016-02-13 10:00:00
1212,北海道留萌市,2016-02-13 10:00:00,2016-02-13 10:00:00
1213,北海道苫小牧市,2016-02-13 10:00:00,2016-02-13 10:00:00
1214,北海道稚内市,2016-02-13 10:00:00,2016-02-13 10:00:00
1215,北海道美唄市,2016-02-13 10:00:00,2016-02-13 10:00:00
1216,北海道芦別市,2016-02-13 10:00:00,2016-02-13 10:00:00
1217,北海道江別市,2016-02-13 10:00:00,2016-02-13 10:00:00
1218,北海道赤平市,2016-02-13 10:00:00,2016-02-13 10:00:00
1219,北海道紋別市,2016-02-13 10:00:00,2016-02-13 10:00:00
1220,北海道士別市,2016-02-13 10:00:00,2016-02-13 10:00:00
1221,北海道名寄市,2016-02-13 10:00:00,2016-02-13 10:00:00
1222,北海道三笠市,2016-02-13 10:00:00,2016-02-13 10:00:00
1223,北海道根室市,2016-02-13 10:00:00,2016-02-13 10:00:00
1224,北海道千歳市,2016-02-13 10:00:00,2016-02-13 10:00:00
1225,北海道滝川市,2016-02-13 10:00:00,2016-02-13 10:00:00
1226,北海道砂川市,2016-02-13 10:00:00,2016-02-13 10:00:00
1227,北海道歌志内市,2016-02-13 10:00:00,2016-02-13 10:00:00
1228,北海道深川市,2016-02-13 10:00:00,2016-02-13 10:00:00
1229,北海道富良野市,2016-02-13 10:00:00,2016-02-13 10:00:00
1230,北海道登別市,2016-02-13 10:00:00,2016-02-13 10:00:00
1231,北海道恵庭市,2016-02-13 10:00:00,2016-02-13 10:00:00
1233,北海道伊達市,2016-02-13 10:00:00,2016-02-13 10:00:00
1234,北海道北広島市,2016-02-13 10:00:00,2016-02-13 10:00:00
1235,北海道石狩市,2016-02-13 10:00:00,2016-02-13 10:00:00
1236,北海道北斗市,2016-02-13 10:00:00,2016-02-13 10:00:00
1300,北海道石狩振興局,2016-02-13 10:00:00,2016-02-13 10:00:00
1303,北海道石狩振興局当別町,2016-02-13 10:00:00,2016-02-13 10:00:00
1304,北海道石狩振興局新篠津村,2016-02-13 10:00:00,2016-02-13 10:00:00
1330,北海道渡島総合振興局,2016-02-13 10:00:00,2016-02-13 10:00:00
1331,北海道渡島総合振興局松前町,2016-02-13 10:00:00,2016-02-13 10:00:00
1332,北海道渡島総合振興局福島町,2016-02-13 10:00:00,2016-02-13 10:00:00
1333,北海道渡島総合振興局知内町,2016-02-13 10:00:00,2016-02-13 10:00:00
1334,北海道渡島総合振興局木古内町,2016-02-13 10:00:00,2016-02-13 10:00:00
1337,北海道渡島総合振興局七飯町,2016-02-13 10:00:00,2016-02-13 10:00:00
1343,北海道渡島総合振興局鹿部町,2016-02-13 10:00:00,2016-02-13 10:00:00
1345,北海道渡島総合振興局森町,2016-02-13 10:00:00,2016-02-13 10:00:00
